GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
10,-0.0,0.0,-0.0,0.0,0.0,0.0,-18.15,-11.26,-0.0,-0.0,24.86,-2.61,-29.41,22.24,-7.17
11,-0.0,0.0,-0.0,-0.0,0.0,0.0,-17.58,-6.85,-0.0,-0.0,17.88,-2.6,-24.43,15.28,-9.15
12,0.0,0.0,-0.0,-0.0,-0.0,0.0,-15.09,-13.86,-0.0,-0.0,24.71,-2.78,-28.95,21.93,-7.01
13,-0.0,0.0,-0.0,0.0,-0.0,0.0,-13.21,-11.58,0.0,-0.0,23.39,-2.59,-24.79,20.81,-3.98
14,0.0,-0.0,-0.0,0.0,0.0,0.0,-14.22,-4.42,-0.0,0.0,18.26,-2.28,-18.64,15.99,-2.65
15,-0.0,0.0,0.0,0.0,-0.0,0.0,-15.73,-9.31,-0.0,-0.0,21.83,-2.06,-25.03,19.77,-5.27
16,0.0,0.0,0.0,-0.0,-0.0,0.0,-13.78,-27.18,0.0,-0.0,41.33,-2.53,-40.96,38.8,-2.16
17,-0.0,0.0,0.0,-0.0,0.0,0.0,-17.49,-10.63,-0.0,-0.0,26.89,-2.25,-28.12,24.64,-3.48
18,0.0,-0.0,0.0,0.0,0.0,0.0,-17.27,-13.73,-0.0,0.0,26.1,-2.58,-31.0,23.52,-7.48
19,0.0,0.0,0.0,-0.0,-0.0,0.0,-17.56,-10.99,0.0,-0.0,23.98,-2.51,-28.55,21.47,-7.07
20,0.0,0.0,-0.0,-0.0,-0.0,0.0,-14.73,-16.17,0.0,-0.0,25.11,-2.61,-30.9,22.5,-8.4
21,0.0,0.0,0.0,-0.0,-0.0,0.0,-16.96,-12.36,0.0,-0.0,23.46,-2.71,-29.32,20.75,-8.57
22,0.0,-0.0,0.0,-0.0,0.0,0.0,-18.89,-10.34,0.0,0.0,25.7,-2.71,-29.23,22.99,-6.24
23,0.0,-0.0,-0.0,0.0,-0.0,0.0,-19.15,-9.08,0.0,0.0,23.89,-2.81,-28.23,21.08,-7.15
24,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-17.58,-10.09,-0.0,-0.0,24.15,-2.77,-27.67,21.38,-6.29
